id,first_name,last_name,team_id
5460997,Zack,Penrod,KS_college_m_Wichita_State
5461017,Jacob,Domagalski,MI_college_m_Grand_Valley_St
5461036,Billy,McDevitt,PA_college_m_Penn_State
5461106,Curtis,Carmack,NC_college_m_Catawba
5461211,Zach,Gascho,NE_college_m_Nebraska_Kearney
5461215,Shane,Burkey,NE_college_m_Nebraska_Kearney
5461231,Sammy,Truax,WA_college_m_Gonzaga
5461302,Kevin,Penaloza,NY_college_m_Le_Moyne
5461344,Olin,Hacker,WI_college_m_Wisconsin
5461346,Zack,Snider,WI_college_m_Wisconsin
5461349,Ben,Eidenschink,WI_college_m_Wisconsin
5461416,Brent,Leber,TN_college_m_Lipscomb
5461417,Nathan,Morgan,TN_college_m_Lipscomb
5461507,Michael,O'Leary,RI_college_m_Providence
5461917,Kaleb,McLeod,TN_college_m_Belmont
5461918,Declan,McManus,TN_college_m_Belmont
5461919,Ben,Weisel,TN_college_m_Belmont
5461950,Kevin,White,IL_college_m_Loyola_IL
5462083,Jerod,Broadbooks,MO_college_m_Lindenwood
5462084,Ero,Doce,MO_college_m_Lindenwood
5462086,Zach,McKinley,MO_college_m_Lindenwood
5462200,Daniel,Green,WV_college_m_Marshall
5462376,Bradley,Dixon,AL_college_m_Troy
5462378,Daniel,Glick,AL_college_m_Troy
5462379,Austin,Gray,AL_college_m_Troy
5462394,Tyler,Edwards,TN_college_m_King
5462402,Dean,McGregor,FL_college_m_Florida_Southern
5462428,Caleb,Pell,WV_college_m_Alderson_Broaddus
5462470,Josh,Evans,AL_college_m_Montevallo
5462665,Esteban,Leon,CA_college_m_Cal_St_East_Bay
5462738,Andrew,Curry,TX_college_m_Dallas_Baptist
5462743,Trent,Phelps,TX_college_m_Dallas_Baptist
5462744,Stetson,Rayas,TX_college_m_Dallas_Baptist
5462830,Hosava,Kretzmann,CO_college_m_Fort_Lewis
5462833,Sylas,Schutt,CO_college_m_Fort_Lewis
5462950,Derek,Myers,ND_college_m_U_of_Mary
5462976,Jorden,Tahquechi,CA_college_m_Dominican_Cal
5463007,Jonathan,Martin,NC_college_m_UNC_Pembroke
5463008,Matthew,Martin,NC_college_m_UNC_Pembroke
5463011,Logan,Ward,NC_college_m_UNC_Pembroke
5463104,Jack,Diamond,WI_college_m_Wis_Parkside
5463106,Jimmy,Funteas Jr.,WI_college_m_Wis_Parkside
5463264,Luciano,Fiore,NY_college_m_Siena
5463442,Angel,Soto-Lozada,IN_college_m_Marian_IN
5463761,Jesse,Frank,MN_college_m_Winona_State
5463788,Matt,Sheeler,ON_college_m_Western_Ontario
5463871,Caleb,Barker,MI_college_m_Northwood
5463933,Austin,Woods,TN_college_m_Trevecca_Nazarene
5463934,Anthony,Reeves,TN_college_m_Trevecca_Nazarene
5463944,Jake,Hoffert,IL_college_m_Bradley
5463945,Luke,Hoffert,IL_college_m_Bradley
5463946,Kerry,Gschwendtner,IL_college_m_Bradley
5463987,Daniel,Carney,UT_college_m_BYU
5463991,Jacob,Heslington,UT_college_m_BYU
5463992,Brayden,McLelland,UT_college_m_BYU
5464048,Darin,Lawrence,IN_college_m_Southern_Indiana
5464256,Sam,Berg,CO_college_m_Metropolitan_St
5464344,Seth,Whittington,OK_college_m_Rogers_State
5464345,Cruzito,Chavez,OK_college_m_Rogers_State
5464347,Colton,Green,OK_college_m_Rogers_State
5464348,Tristan,Owens,OK_college_m_Rogers_State
5464381,Kyle,Mau,IN_college_m_Indiana_IN
5464382,Bryce,Millar,IN_college_m_Indiana_IN
5464390,J.T.,Sargent,IN_college_m_Franklin
5464488,Alex,Demeule,MA_college_m_Stonehill
5464489,Riley,Dowd,MA_college_m_Stonehill
5464490,Chris,Drace,MA_college_m_Stonehill
5464493,Lucas,Taxter,MA_college_m_Stonehill
5464546,Mark,Beckmann,MI_college_m_Central_Michigan
5464605,Aren,Johnson,CA_college_m_UC_San_Diego
5464675,Caleb,Troe,MN_college_m_Concordia_St_Paul
5464703,Ben,Hill,MI_college_m_Michigan
5464774,Lucky,Schreiner,OR_college_m_Oregon
5464857,Thomas,Pollard,IA_college_m_Iowa_State
5465378,Lane,Graves,NC_college_m_Lees_McRae
5465379,Shawn,Graves,NC_college_m_Lees_McRae
5465380,Austin,Thompson,NC_college_m_Lees_McRae
5465460,Isaac,Overmyer,MN_college_m_Minnesota_Duluth
5465462,Luke,Lahr,MN_college_m_Minnesota_Duluth
5465561,Jackson,Helfrich,GA_college_m_Reinhardt
5466079,Trevor,Talley,OK_college_m_Oklahoma_Christian
5466195,Matthew,Guerrero,CA_jcollege_m_Redwoods
5466305,Geordie,Beamish,AZ_college_m_Northern_Arizona
5466306,James,Fitzgerald,AZ_college_m_Northern_Arizona
5466721,Logan,Congo,KY_college_m_Union_KY
5466792,Caleb,Burke,MN_college_m_Minn_St_Mankato
5466805,Jake,Garrissere,CA_college_m_San_Francisco_St
5466807,Austin,Sanchez,CA_college_m_San_Francisco_St
5467154,Zach,Dale,IL_college_m_Illinois
5467515,Peter,Seufer,VA_college_m_Virginia_Tech
5467517,Diego,Zarate,VA_college_m_Virginia_Tech
5467761,Matthew,Gibbons,OH_college_m_Toledo
5467879,Cole,Bosley,KS_college_m_Emporia_St
5467881,Grant,Knoll,KS_college_m_Emporia_St
5467885,Gabe,Sams,KS_college_m_Emporia_St
5468144,Andrew,Gardewine,IL_college_m_McKendree
5468152,Joe,Shannon,IL_college_m_McKendree
5468154,Ryan,Krause,IL_college_m_McKendree
5468155,Trevor,White,IL_college_m_McKendree
5468157,Tyler,Manion,IL_college_m_McKendree
5468158,Zach,Manion,IL_college_m_McKendree
5468168,Ethan,Gatchel,OH_college_m_Cedarville
5468171,Ethan,Sullivan,OH_college_m_Cedarville
5468173,Alec,Weinhold,OH_college_m_Cedarville
5468278,Ryan,Thompson,CA_college_m_Biola
5468362,Quinn,Cooney,NH_college_m_Dartmouth
5468364,Reed,Horton,NH_college_m_Dartmouth
5468950,Elijah,Mitchell,NC_college_m_Montreat
5469395,Josh,Coakley,PA_college_m_West_Chester
5469711,Jakob,Bernal,AL_college_m_West_Alabama
5470016,Kevin,James,NY_college_m_Syracuse
5470017,Simon,Smith,NY_college_m_Syracuse
5470392,Kigen,Chemadi,TN_college_m_Mid_Tenn_State
5470486,Tre,Brooks,WV_college_m_Charleston
5470493,Liam,Mumford,WV_college_m_Charleston
5470499,Jason,Weitzel,WV_college_m_Concord
5470538,Jesse,Allen,ID_college_m_Idaho_State
5470602,Austin,Neura,OH_college_m_Heidelberg
