id,name,date,distance,venue,city
15192,DICKINSON LIGHT UP THE NIGHT 5k INVITE,08/30/2019,4987.0,Dickinson Park,West High Street
15197,2019 Allstate Sugar Bowl XC Festival,09/14/2019,5000.0,City Park,"New Orleans, LA 70118"
15201,Loyola Lakefront Collegiate Invitational,09/28/2019,8000.0,Montrose Beach,"Chicago, IL 60640"
15204,Cardinal Classic,10/18/2019,8000.0,Munice Elks Country Club,"Muncie, IN 47306"
15205,Inland Empire Championships,10/12/2019,8000.0,LCSC XC,"Lewiston, ID 83501"
15206,San Francisco State Invitational,10/11/2019,10000.0,"Speedway Meadow, Golden Gate Park","San Francisco, CA 94118"
15207,Southern Arkansas University Lois Davis Invitational,10/11/2019,8000.0,Southern Arkansas University,"Magnolia, AR 71753"
15209,Fisher - Rodenbeck XC Invite,08/30/2019,6000.0,St. John Fisher Golf Course,"Rochester, NY 14618"
15211,UC San Diego Triton Classic,10/12/2019,8000.0,UC San Diego,"La Jolla, CA 85713"
15212,Seminole State Invitational,09/27/2019,5000.0,Seminole State College,"Oviedo, FL"
15216,Montevallo Falcon Classic,09/07/2019,8000.0,Montevallo XC Course,"Montevallo, AL 35115"
15217,2019 PLU Invitational,09/21/2019,8000.0,PLU Cross Cuntry Course,800 124th St. South
15218,12th Annual UCCS Rust-Buster - 2019,09/07/2019,8000.0,Monument Valley Park,"Colorado Springs, CO 80903"
15219,37th Annual Queen City Invitational,08/31/2019,5000.0,NKU,"Highland Heights, OH 41099"
15220,2019 UCCS XC Open,10/12/2019,8000.0,UC-Colo. Spgs.,"Colorado Springs, CO 80918"
15221,Texas Tech Open,09/21/2019,8000.0,LCU Golf Course,"Lubbock, TX 79407"
15222,Bradley Intercollegiate,09/20/2019,7996.0,Detweiller Park,"Peoria, IL 61625"
15224,Bradley Pink Classic,10/18/2019,8000.0,Newman Golf Course,"Peoria, IL 61625"
15225,NC Wesleyan XC Classic,09/21/2019,8000.0,NC Wesleyan University,3400 N Wesleyan Blvd
15226,USA South Championships,11/02/2019,8000.0,North Carolina Weslyan,"Rocky Mount, NC 27804"
15228,2019 Yellowjacket XC Invitational,09/14/2019,8000.0,Genesee Valley Park,"Rochester, NY 14627"
15234,Nicole Leman Invitational,08/31/2019,5000.0,LeTourneau University Trails,"Longview, TX 75607"
15235,National Catholic Invitational,09/20/2019,8045.0,Burke Golf Course,"Notre Dame, IN 46556"
15239,Ray Helsing Bulldog Invite at Ferris State,09/07/2019,8000.0,Kaatke Golf Course,"Big Rapids, MI 49307"
15240,Bill Fritz Invitational,09/21/2019,8000.0,Rowan University,"Glassboro, NJ 08028"
15241,Miami Opener,08/30/2019,8000.0,Miami Ohio,"Oxford, OH 45056"
15242,RedHawk Rumble,09/21/2019,8000.0,Miami Ohio,"Oxford, OH 45056"
15245,Louisiana Tech Mook 4 Invitational,09/14/2019,6436.0,LaTech,"Ruston, LA 71272"
15246,Asbury Invitational,10/26/2019,8000.0,Asbury University,Luce Center
15249,Towson XC Invitational,08/30/2019,6000.0,Towson,"Towson, MD 21252"
15250,Warrior Challenge,09/21/2019,8000.0,Willow Metropark,"New Boston, MI 48164"
15252,Lehigh Invitational,08/30/2019,6000.0,Goodman Cross Country Course,"Bethlehem, PA 18015"
15262,Eagles XC Challenge,09/21/2019,8000.0,7 Mile Farm,"Statesboro, GA 30066"
15263,GATA XC Classic,10/05/2019,8000.0,7 Mile Farm,"Statesboro, GA 30066"
15265,Cardinal Classic,09/14/2019,8000.0,Catholic,"Washington, DC"
15266,Oberlin College Inter-Regional Rumble,10/19/2019,8000.0,Oberlin College CC Course,"Oberlin, OH 44074"
15268,University of North Dakota's Ron Pynn Classic,10/19/2019,8000.0,North Dakota,"Grand Forks, ND 58202"
15269,Valparaiso Crusader Open,09/06/2019,6000.0,Sunset Hill Farm County Park,"Valparaiso, IN 46383"
15270,2019 Border Clash XC Meet,09/06/2019,7250.0,"Freedom Park - Valdosta, GA","Valdosta, GA 31605"
15271,Bobcat Inviational,10/12/2019,8000.0,GCSU Cross Country Course,"Milledgeville, GA 31061"
15272,Joe Piane - Notre Dame Invitational,10/04/2019,8045.0,Burke Golf Course,"Notre Dame, IN 46556"
15273,L&C Invite,10/19/2019,8000.0,McIver Park,"Estacada, OR"
15274,St. Francis Saints Twilight Invite,08/30/2019,4987.0,Channahon Park,23304 W. McClintock Rd
15276,York College Cross Country Invitational,09/22/2019,7996.0,Van Cortlandt Park,", NY"
15278,Hope College Vanderbilt Invitational 2019,08/31/2019,8000.0,Hope College X-C Course (Hope College),"Holland, MI 49424"
15279,Virginia Tech Invitational,09/06/2019,6000.0,Virginia Tech,"Blacksburg, VA 24061"
15280,Virginia Tech Alumni Invitational,09/20/2019,8000.0,Virginia Tech,"Blacksburg, VA 24061"
15283,Early Bird Invitational at Keene State 2019,08/31/2019,5000.0,Keene State College Cross-Country Course,"Keene, NH 3431"
15285,UCO Land Run,09/07/2019,4000.0,Edmond Santa Fe HS,"Edmond, OK, Oklahoma 73160"
15289,William Jessup Warrior Invitational,10/26/2019,8000.0,Spring View Park,"Rocklin, CA 95765"
15290,Stump Invitational,09/13/2019,8000.0,Wildhorse Golf Club,2323 Rockwell Dr
15291,Southern Stampede,09/21/2019,8000.0,Missouri Southern,"Joplin, MO 64801"
15292,Montana State Cross Country Classic,09/21/2019,8045.0,Bridger Creek Golf Course,"Bozeman, MT 59715"
15295,Michigan Intercollegiate Athletic Association Championships,11/02/2019,8000.0,Trine University X-C Course (Trine University),"Angola, IN 46703"
15296,Redlands Invitational,08/31/2019,6000.0,University of Redlands Cross Country Course,1200 East Colton Avenue
15297,Santa Clara Bronco Invitational,10/19/2019,8000.0,"Baylands Park, Sunnyvale, CA","Sunnyvale, CA 94089"
15300,Lansing Invitational Cross Country Meet,10/04/2019,8045.0,Grand Woods Park,", MI"
15302,Berry College Cross Country Invitational,10/19/2019,8000.0,Berry College,"Rome, GA 30066"
15304,Wingate University Bulldog Stampede,09/21/2019,8000.0,Wingate University,224 East Wilson St.
15306,Haverford Invitational,10/25/2019,6436.0,Alumni XC,370 Lancaster Ave
15307,Bill Dellinger Invitational,09/28/2019,8000.0,Pine Ridge Golf Club,", OR"
15312,Belmont XC Opener,08/30/2019,4987.0,Percy Warner Park,Percy Warner Park
15315,Huntingdon Hawks Invitational,09/20/2019,8000.0,Huntingdon,"Montgomery, AL"
15317,Texas Invitational Cross Country Meet,09/13/2019,5000.0,"Old Settlers Park - Round Rock,TX","Round Rock, TX 78665"
15319,SUNY Oneonta Airfield Invitational,09/14/2019,8000.0,Fortin Park,"Oneonta, NY 13820"
15320,ASC 2019 Championships,11/02/2019,8000.0,Abilene Christian Course,"Aibilene, TX 79697"
15321,Bill Libby Invitational/ ASC Preview Meet 2019,10/19/2019,8000.0,Abilene Christian Course,"Abilene, TX 79697"
15323,2019 EMU Fall XC Classic,10/25/2019,6000.0,Hudson Mills Metropark,8801 N Territorial Rd
15325,Embry-Riddle Asics Classic - College,09/21/2019,8000.0,Embry-Riddle,"Daytona Beach, FL 32114"
15327,Howard University Labor Day Classic,08/31/2019,5000.0,Kenilworth Park,"Washington, DC 20019"
15338,Converse Kick-Off,09/06/2019,5000.0,Milliken,920 Milliken Rd
15343,2019 Army West Point Open,09/13/2019,7600.0,Bowdoin Park,"Wappingers Falls, NY 10996"
15345,Holy Names University XC Tri-Meet,09/06/2019,8000.0,Hayward Regional Shoreline Park,3010 W Winton Ave
15346,DSU Hornet Invite,09/07/2019,5000.0,Delaware Outreach & Reserach Center,884 Smyra Leipsic Road
15348,DSU Alumni XC Invite,10/11/2019,8000.0,Delaware Outreach & Reserach Center,"Smyra, DE 19709"
15349,MD Eastern Shore XC Invite,09/21/2019,8000.0,The Hawks XC Pavilion,1 College Backbone Road
15350,Region XI Time Trial,08/23/2019,5000.0,Cedar Creek Golf Course,"Ottumwa, IA"
15353,Clayton State Cross Country Challenge,09/27/2019,8000.0,Mount Zion Baptist Church,7102 Mt Zion Blvd
15354,Rowan Inter-regional Border Battle,10/19/2019,8000.0,DREAM Park,400 US-130
15356,Mississippi College Season Opener,08/30/2019,5000.0,Choctaw Trails,"Clinton, MS 39058"
15357,Mississippi College Invitational,10/12/2019,8000.0,Choctaw Trails,"Clinton, MS 39058"
15360,2019 Mountain Dew Gator Cross Country Invitational,09/14/2019,8000.0,"Mark Bostic Golf Course, UF","Gainesville, FL 11111"
